,aluminum_production_1,camo,desertinfantry_at,etax_doctrine,jaegers,jngdst_clothes_gw,r56_guerilla_warfare,r56_gw_railway_gun,r56_militia_tech,r56_railway_mortar_subtech,shocktroops,sniper_rifle,steel_production_1,transport_plane1,winter_clothes_gw,jungletroops
AFG,,,,1,,,,,1,,,1,,,,
ALB,,1,,1,,,,,,,,,,1,,
ALG,,1,1,1,,1,,,,,,,,1,,
ANG,,1,,1,,,,,,,,,,,,
ARG,,1,,1,,,,,,,,,,1,,
ARM,,1,,1,,,,,,,,,,1,,
AST,,1,,1,,,,,,,,,1,1,,
AUS,1,1,,1,1,,,,,,,,1,1,1,
AZR,,1,,1,,,,,,,,,,1,,
BAH,,1,,1,,,,,,,,,,,,
BAS,,1,,1,,,,,,,,,,1,,
BAY,,1,,1,,,,,,,,1,1,1,,
BEL,,1,,1,1,,,,,,,,1,1,1,
BHU,,1,,1,,,,,,,,,,,,
BOL,,1,,1,,,,,,,,,,1,,
BOS,,1,,1,,,,,,,,,,1,,
BOT,,1,,1,,,,,,,,,,,,
BRA,,1,,1,,1,,,,,,,,1,,1
BRD,,1,,1,,,,,,,,,,,,
BRI,,1,,1,,,,,,,,,,1,,
BRM,,1,,1,,,,,,,,,,,,
BUK,,1,,1,,,,,,,,,,,,
BUL,,1,,1,,,,,,,,,,1,,
CAM,,1,,1,,,,,,,,,,,,
CAN,1,1,,1,,,,,,,,,1,1,,
CAR,,1,,1,,,,,,,,,,,,
CAT,,1,,1,,,,,,,,,,1,,
CHA,,1,,1,,,,,,,,,,,,
CHI,,1,,1,,,,,1,,,,,1,,
CHL,,1,,1,,,,,,,,,1,1,,
CMR,,1,,1,,,,,,,,,,,,
COG,,1,,1,,,,,,,,,,1,,
COL,,1,,1,,,,,,,,,,1,,
COS,,1,,1,,,,,,,,,,1,,
CRO,,1,,1,,,,,,,,,,1,,
CSA,,1,,1,,,,,,,,,,1,,
CUB,,1,,1,,,,,,,,,,1,,
CYP,,1,,1,,,,,,,,,,1,,
CZE,,1,,1,,,,,,,,,1,1,,
DAH,,1,,1,,,,,,,,,,,,
DDR,1,1,,1,,,,,,,,,1,1,,
DEN,,1,,1,,,,,,,,,1,1,,
DOM,,1,,1,,,,,,,,,,1,,
ECU,,1,,1,,,,,,,,,,1,,
EGY,,1,1,1,,1,,,,,,,,1,,
ELS,,1,,1,,,,,,,,,,1,,
ENG,1,1,,1,,,,1,,,,,1,1,,
ERI,,1,1,1,,1,,,,,,,,,,
EST,,1,,1,,,,,,,,,,1,,
ETH,,1,,1,,,,,,,,,,1,,
FIN,,1,,1,1,,1,,,,,,1,1,1,
FLA,,1,,1,,,,,,,,,1,1,,
FRA,1,1,,1,,,,1,,1,,,1,1,,
GAB,,1,,1,,,,,,,,,,,,
GBR,,1,,1,,,,,,,,,,1,,
GEO,,1,,1,,,,,,,,,,1,,
GER,,1,,1,,,,1,,1,1,1,1,1,,
GHA,,1,,1,,,,,,,,,,,,
GLC,,1,,1,,,,,,,,,,1,,
GNA,,1,,1,,,,,,,,,,,,
GRE,,1,,1,,,,,,,,,,1,,
GUA,,1,,1,,,,,,,,,,1,,
GXC,,1,,1,,,,,1,,,,,1,,
GYA,,1,,1,,,,,,,,,,1,,
HAI,,1,,1,,,,,,,,,,1,,
HAW,,1,,1,,,,,,,,,,1,,
HOL,,1,,1,,,,,,,,,1,1,,
HON,,1,,1,,,,,,,,,,1,,
HUN,1,1,,1,,,,,,,,,1,1,,
HYD,,1,,1,,,,,,,,,,1,,
ICE,,1,,1,,,,,,,,,,1,,
INS,,1,,1,,,,,,,,,,1,,
IRE,,1,,1,,,,,,,,1,,1,,
IRQ,,1,,1,,,,,,,,,,1,,
ITA,1,1,,1,,,,1,,,1,,1,1,,
IVO,,1,,1,,,,,,,,,,,,
JAM,,1,,1,,,,,,,,,,1,,
JAP,1,1,,1,,,,1,,,,,1,1,,
KEN,,1,,1,,,,,,,,,,,,
KHI,,1,,1,,,,,,,,,,,,
KOR,,1,,1,,,,,,,,,,1,,
KUR,,1,,1,,,,,,,,,,1,,
LAO,,1,,1,,,,,,,,,,,,
LAT,,1,,1,,,,,,,,,,1,,
LBA,,1,1,1,,1,,,,,,,,1,,
LEB,,1,,1,,,,,,,,,,1,,
LIB,,1,,1,,,,,,,,,,1,,
LIT,,1,,1,,,,,,,,,,1,,
MAC,,1,,,,,,,,,,,,1,,
MAD,,1,,1,,,,,,,,,,,,
MAL,,1,,,,,,,,,,,,1,,
MAN,1,1,,1,,,,,,,,,1,1,,
MEX,,1,,1,,,,,,,,,,1,,
MLI,,1,1,1,,1,,,,,,,,,,
MLT,,1,,1,,,,,,,,,,1,,
MLW,,1,,1,,,,,,,,,,,,
MNT,,1,,1,,,,,,,,,,1,,
MON,,1,,1,,,1,1,,,,,1,1,,1
MOR,,1,1,1,,1,,,,,1,,,,,
MRT,,1,1,1,,1,,,,,,,,,,
MZB,,1,,1,,,,,,,,,,,,
NEP,,1,,1,,,,,,,,,,1,,
NGA,,1,,1,,,,,,,,,,,,
NIC,,1,,1,,,,,,,,,,1,,
NIR,,1,,1,,,,,,,,,1,1,,
NOR,,,,,,,,,,,,,,,,
NZL,,1,,1,,,,,,,,,,1,,
OMA,,1,,1,,,,,,,,,,1,,
PAK,,1,,1,,,,,,,,,,1,,
PAL,,1,,1,,,,,,,,,,1,,
PAN,,1,,1,,,,,,,,,,1,,
PAR,,1,,1,,,,,,,,,,1,,
PER,,1,,1,,,,,,,,,,1,,
PHI,,1,,1,,,,,,,,,,1,,
PNG,,1,,1,,,,,,,,,,1,,
POL,,1,,1,,,,,,,,,,1,,
POR,,1,,1,,,,,,,,,,1,,
PRU,,1,,1,,,,,,,,,,1,,
PUE,,1,,1,,,,,,,,,,1,,
RAJ,,1,,1,,1,,,,,,1,1,,1,
ROM,,1,,1,,,,,,,,,1,1,,
RWA,,1,,1,,,,,,,,,,,,
SAF,,1,,1,,,,,,,,,,1,,
SAU,,1,,1,,,,,,,,,,1,,
SCA,,1,,1,,,,,,,,,,1,,
SCO,,1,,1,,,,,,,,,1,1,,
SER,,1,,1,,,,,,,,,,1,,
SHX,,1,,1,,,,,1,,,,,1,,
SIA,,1,,1,,,,,,,,,,1,,
SIC,,1,,1,,,,,,,,,1,1,,
SIE,,1,,1,,,,,,,,,,,,
SIK,,1,,1,,,,,1,,,,,1,,
SLO,,1,,1,,,,,,,,,,1,,
SLV,,1,,1,,,,,,,,,,1,,
SOM,,1,,1,,,,,,,,,,,,
SOV,1,1,,1,,,,1,,,,1,1,1,,
SPR,1,1,,1,,,,,,,1,,,1,,
SUD,,1,1,1,,1,,,,,,,,,,
SUR,,1,,1,,,,,,,,,,1,,
SWE,1,1,,1,1,,,,,,,,1,1,1,
SWI,1,1,,1,,,,,,,,,,1,1,
SYR,,1,,1,,,,,,,,,,1,,
TIB,,1,,1,,,,,1,,,,,,,
TOG,,1,,1,,,,,,,,,,,,
TRI,,1,,1,,,,,,,,,,,,
TUN,,,,,,,,,,,,,,,,
TUR,,1,,1,,,,,,,,,,1,,
TZN,,1,,1,,,,,,,,,,,,
UGA,,1,,1,,,,,,,,,,,,
UKR,,1,,1,,,,1,,,,,1,1,,
URG,,1,,1,,,,,,,,,,1,,
USA,1,1,,1,,,,1,,1,,,1,1,,
VEN,,1,,1,,,,,,,,,,1,,
VIN,,1,,1,,,,,,,,,,1,,
VOL,,1,,1,,,,,,,,,,,,
WLS,,1,,1,,,,,,,,,1,1,,
XSM,,1,,1,,,,,1,,,,,1,,
YEM,,1,,1,,,,,,,,,,1,,
YUN,,1,,1,,,,,1,,,,,1,,
ZIM,,1,,1,,,,,,,,,,,,
ADA,,1,,1,,,,,,,,,,,,
ALO,,1,,1,,,,,,,,,,,,
AMA,,1,,1,,,,,,,,,,,,
ANQ,,1,,1,,,,,,,,,,,,
ANT,,1,,1,,,,,,,,,,,,
ASM,,1,,1,,,,,,,,,,,,
ASY,,1,,1,,,,,,,,,,,,
BAT,,1,,1,,,1,,1,1,1,1,1,1,,
BNG,,1,,1,,,,,,,,,,,,
BOM,,1,,1,,,,,,,,,,,,
BRT,,1,,1,,,,,,,,,,,,
CEN,,1,,1,,,,,,,,,,,,
CEY,,1,,1,,,,,,,,,,,,
CVG,,1,,1,,,,,,,,,,,,
DEI,,1,,1,,1,,,,,,1,1,1,1,1
DKB,,1,,1,,,,,,,,,,,,
EMI,,1,,1,,,,,,,,,,,,
ETS,,1,,1,,,,,,,,,,,,
FNG,,1,,1,,,,,,,,1,1,,,
FOP,,1,,1,,,,,,,,,,,,
FRP,,1,,1,,,,,,,,,,,,
GAL,,1,,1,,,,,,,,,,,,
GBP,,1,,1,,,,,,,,,,,,
GEA,,1,,1,,1,,,1,1,1,1,1,,1,1
GOY,,1,,1,,,,,,,,,,,,
GRP,,1,,1,,,,,,,,,,,,
GRU,,1,,1,,,,,,,,,,,,
GUJ,,1,,1,,,,,,,,,,,,
HAU,,1,,1,,,,,,,,,,,,
HEJ,,1,,1,,,,,,,,,,,,
HND,,1,,1,,1,,,,,,1,1,,1,1
HNN,,1,,1,,,,,,,,,,,,
IKH,,1,,1,,,,,,,,,,,,
INC,,1,,1,,,,,,,,,,,,
INR,,1,,1,,,,,,,,,,,,
JBS,,1,,1,,,,,,,,,,,,
KAC,,1,,1,,,,,,,,,,,,
KAS,,1,,1,,,,,,,,,,,,
KBR,,1,,1,,,,,,,,,,,,
KDR,,1,,1,,,,,,,,,,,,
KIV,,1,,1,,,,,,,,,,,,
KTG,,1,,1,,,,,,,,,,,,
KUM,,1,,1,,,,,,,,,,,,
LEC,,1,,1,,,,,,,,,,,,
LEP,,1,,1,,,,,,,,1,1,,,
LOM,,1,,1,,,,,,,,,,,,
MAF,,1,1,1,,1,,,1,1,1,1,1,,1,1
MDR,,1,,1,,,,,,,,,,,,
MYS,,1,,1,,,,,,,,,,,,
NEE,,1,,1,,,,,,,,,,,,
NFA,1,1,1,1,,1,,,1,,,1,1,,,1
NGF,,1,,1,,,,,,,,,,,,
NGR,,1,,1,,,,,,,,,,,,
NMB,,1,,1,,,,,,,,,,,,
ORI,,1,,1,,,,,,,,,,,,
PAP,,1,,1,,,,,,,,,,,,
PIR,,1,,1,,,,,,,,,,,,
PJB,,1,,1,,,,,,,,,,,,
PRF,,1,,1,,1,,,,,,,1,1,,1
PSA,,1,,1,,,,,,,,,,,,
QIE,,1,,1,,,,,,,,1,1,,,
QUE,,1,,1,,,,,,,,,,,,
RHI,,1,,1,,,,,,,,,,,,
RJS,,1,,1,,,,,,,,,,,,
RUS,,1,,1,1,,,,1,1,1,1,1,1,1,
SAR,,1,,1,,,,,,,,,,,,
SEN,,1,,1,,,,,,,,,,,,
SHA,,1,,1,,,,,,,,,,,,
SIB,,1,,1,,,,,,,,,,,,
SPA,,1,,1,,,,,,,,,,,,
SPO,,1,,1,,,,,,,,,,,,
SQI,,1,,1,,,,,,,,,,,,
SRD,,1,,1,,,,,,,,,,,,
SRI,1,1,,1,,1,,,,1,,1,1,,,
SWF,,1,,1,,,,,,,,,,,,
SZC,,1,,1,,,,,,,,,,,,
TAI,,1,,1,,,,,,,,,,,,
TEX,,1,,1,,,,,,,,,,,,
TKE,,1,,1,,,,,,,,,,,,
TRK,,1,,1,,,,,,,,,,,,
TRM,1,1,,1,,,,,,,,1,1,1,,
TRP,,1,,1,,,,,,,,,,,,
TRS,,1,,1,,,,,,,,,,,,
TRU,,1,,1,,,,,,,,,,,,
TRV,,1,,1,,,,,,,,,,,,
TUS,,1,,1,,,,,,,,,,,,
VCR,,1,,1,,,,,,,,,,,,
VNC,,1,,1,,,,,,,,,,,,
WAL,,1,,1,,,,,,,,,,,,
WHR,,1,,1,,,,,,,,,,,,
WIF,,1,,1,,,,,,,,,,,,
XXA,,1,,1,,,,,,,,,,,,
YUC,,1,,1,,,,,,,,,,,,
ZAM,,1,,1,,,,,,,,,,,,
ZZB,,1,,1,,,,,,,,,,,,
